archivo,empresa,fecha,descripcion,cantidad,precio_unitario,precio_total, pagina, fecha, empresa, descripcion, cantidad, precio_unitario, precio_total,_norm_archivo,pagina,filename_png
Profoma 0253-2021.pdf,Teleperformance Peru,18 / 08 / 2021,Trofeo vidrio circular 20 cm. diámetro Con logo grabado Base de vidrio Teleperfom ance,1.0,125.0,125.0,,,,,,,,,,
Proforma 001-2023.pdf,Teleperformance,03 / 01 / 2023,Carteles en celtex 3mm con vinil laminado a full color Medida 36 cm x 20.5 cm Incluye instalación Teleperfo rmance,16.0,60.0,960.0,,,,,,,,,,
Proforma 002-2023.pdf,Teleperformance,03 / 01 / 2023,"Pizarra interactiva de 12” Características: libre de papel de 12 pulgadas LCD tableta de escritura, respetuosos con el medio ambiente. Escritura sencilla, puede dibujar con lápiz óptico o simple con su uña. Presione ligeramente para borrar el contenido escrito y volver a utilizarlo de forma instantánea. Bajo consumo de energía, la batería CR2025 puede funcionar durante 2 años. Construcción duradera, perfecto para todas las edades en el hogar, la oficina o en los desplazamientos. Descripciones: diseño ultra fino, ligero de llevar. Fabricado a partir de material ABS de calidad, práctico y duradero. Compacto y ligero, fácil de llevar y de usar. Especificaciones: Material: ABS Color: negro, blanco, verde, azul Tamaño: 28x18.5x.0.5 cm de tamaño de pantalla: 12 pulgadas: Batería CR2025 (incluida) Paquete incluído: 1 x tableta de escritura Munaiqui",200.0,75.0,15000.0,,,,,,,,,,
Proforma 002-2024.pdf,Oregon Foods,03 / 01 / 2024,Bolsas de material notex color negro Medida 40 x 40 x 10 cm Logo a 1 color impreso,100.0,4.5,450.0,,,,,,,,,,
Proforma 002-2024B.pdf,Oregon Foods,03 / 01 / 2024,Bolsas de material notex color negro Medida 40 x 40 x 10 cm Logo a 1 color impreso,200.0,4.3,860.0,,,,,,,,,,
Proforma 002-2024C.pdf,Oregon Foods,11 / 01 / 2024,Bolsas de material notex color negro Medida 30 x 24 x 15 cm Logo a 1 color impreso a 2 caras Oregon Foods,200.0,4.3,860.0,,,,,,,,,,
Proforma 002-2024D.pdf,Oregon Foods,11 / 01 / 2024,Bolsas de material notex color negro Medida 37 x 34 x 9 cm Logo a 1 color impreso a 2 caras Termosellada Oregon Foods,200.0,4.3,860.0,,,,,,,,,,
Proforma 003-2022.pdf,Siemens,03 / 01 / 2022,"Mochila premium contiene Material: Cation importado + nylon 1 compartimiento exterior Bolsillos laterales con cierre: 2 Cierres: #8 con jaladores especiales niquelados Forro: tafeta grueso Acolchado: # 5 en toda la mochila (espalda, portalaptop, base, asas, delantero y costados) Logo: bordado Descripción compartimento principal: -Portalaptop acolchado y con cinta especial 3.8 De acuerdo a diseño Con logo bordado a 1 color Siemens",100.0,81.9,8190.0,,,,,,,,,,
Proforma 003-2022.pdf,Siemens,03 / 01 / 2022,"Mesas para laptop Material mdf y patas de metal plegable. Medidas 60 cm x 40 cm x 28 cm altura Color negro, beige y madera Logo en adhesivo vinil ploteado Siemens",100.0,48.0,4800.0,,,,,,,,,,
Proforma 003-2022.pdf,Siemens,03 / 01 / 2022,Mouse pad material nylon color negro con apoya muñeca interior gel. Medidas 25.5 cm x 21.5 cm. Con logo a 1 color impreso Siemens,100.0,15.4,1540.0,,,,,,,,,,
